Date,Compensation of employees,"Disposable personal income, current dollars",Employer contributions for employee pension and insurance funds,Employer contributions for government social insurance,Equals: Disposable personal income,Equals: Personal saving,Farm,Government,Government social benefits to persons,"Less: Contributions for government social insurance, domestic",Less: Personal current taxes,Less: Personal outlays,Medicaid,Medicare,Nonfarm,Other,"Other current transfer receipts, from business (net)",Personal consumption expenditures,Personal current transfer payments,Personal current transfer receipts,Personal dividend income,Personal income,Personal income receipts on assets,Personal interest income,Personal interest payments,"Personal outlays, current dollars",Private industries,Proprietors' income with inventory valuation and capital consumption adjustments,Rental income of persons with capital consumption adjustment,Social security,Supplements to wages and salaries,To government,To the rest of the world (net),Unemployment insurance,Veterans' benefits,Wages and salaries
1947-01-01,128989.0,,5453.0,4672.0,170548.0,12595.0,15980.0,17126.0,9352.0,6348.0,19165.0,157953.0,,,20208.0,1904.0,209.0,156161.0,926.0,9561.0,6004.0,189713.0,14665.0,8661.0,865.0,,101738.0,36188.0,6657.0,424.0,10125.0,202.0,724.0,1586.0,5438.0,118864.0
1947-04-01,130787.0,-0.7,5238.0,4288.0,170245.0,8476.0,12355.0,17346.0,9196.0,5964.0,19475.0,161769.0,,,20907.0,2074.0,366.0,160031.0,827.0,9562.0,6312.0,189720.0,15305.0,8993.0,911.0,10.0,103914.0,33262.0,6768.0,460.0,9526.0,211.0,616.0,1590.0,5072.0,121260.0
1947-07-01,132781.0,19.6,5249.0,3544.0,178047.0,12635.0,14098.0,17598.0,13052.0,5160.0,19721.0,165413.0,,,19795.0,2435.0,470.0,163543.0,916.0,13522.0,6520.0,197768.0,15759.0,9239.0,954.0,9.3,106390.0,33893.0,6973.0,476.0,8793.0,224.0,692.0,1646.0,8495.0,123988.0
1947-10-01,136877.0,4.3,5390.0,3220.0,179916.0,10372.0,14935.0,17973.0,10112.0,4784.0,20799.0,169544.0,,,20037.0,2298.0,523.0,167672.0,859.0,10635.0,6448.0,200715.0,15858.0,9410.0,1013.0,10.4,110294.0,34972.0,7157.0,492.0,8610.0,239.0,620.0,1542.0,5780.0,128267.0
1948-01-01,140405.0,12.5,5532.0,3208.0,185295.0,12763.0,14486.0,18294.0,10308.0,4848.0,21198.0,172532.0,,,21897.0,2772.0,384.0,170372.0,1004.0,10692.0,7028.0,206493.0,16541.0,9513.0,1156.0,7.2,113371.0,36384.0,7319.0,516.0,8740.0,252.0,752.0,1152.0,5868.0,131665.0
1948-04-01,142070.0,17.8,5704.0,2988.0,193025.0,16672.0,17972.0,18631.0,10072.0,4552.0,18949.0,176353.0,,,22259.0,2601.0,364.0,174142.0,959.0,10436.0,6676.0,211974.0,16323.0,9647.0,1251.0,9.2,114747.0,40231.0,7465.0,548.0,8692.0,267.0,692.0,1252.0,5671.0,133378.0
1948-07-01,146847.0,13.4,5846.0,2944.0,199178.0,19876.0,17924.0,19254.0,9744.0,4580.0,18245.0,179301.0,,,22680.0,2536.0,368.0,177072.0,930.0,10112.0,7088.0,217423.0,16903.0,9815.0,1300.0,6.9,118803.0,40604.0,7536.0,572.0,8790.0,286.0,644.0,1268.0,5368.0,138057.0
1948-10-01,147929.0,1.0,5952.0,2876.0,199673.0,19458.0,16436.0,19902.0,9400.0,4484.0,18428.0,180214.0,,,23462.0,2258.0,368.0,177928.0,923.0,9768.0,7352.0,218101.0,17373.0,10021.0,1364.0,2.1,119199.0,39897.0,7617.0,580.0,8828.0,299.0,624.0,1408.0,5154.0,139101.0
1949-01-01,146267.0,-10.5,5985.0,3540.0,194220.0,15143.0,12707.0,20350.0,10140.0,5176.0,17803.0,179077.0,,,22707.0,2672.0,332.0,176831.0,855.0,10472.0,7224.0,212023.0,17504.0,10280.0,1391.0,-2.5,116392.0,35414.0,7543.0,612.0,9525.0,311.0,544.0,1672.0,5184.0,136742.0
1949-04-01,144680.0,-0.5,6143.0,3532.0,193991.0,13204.0,12132.0,20689.0,10712.0,5072.0,16998.0,180787.0,,,22805.0,2984.0,332.0,178446.0,843.0,11044.0,7204.0,210989.0,17746.0,10542.0,1498.0,3.9,114316.0,34937.0,7654.0,656.0,9675.0,319.0,524.0,2056.0,5016.0,135005.0
1949-07-01,143608.0,0.2,6341.0,3284.0,194108.0,13895.0,11615.0,21079.0,11184.0,4796.0,16303.0,180212.0,,,22623.0,3251.0,356.0,177806.0,803.0,11540.0,7112.0,210411.0,17933.0,10821.0,1604.0,-1.3,112904.0,34238.0,7888.0,688.0,9625.0,323.0,480.0,2448.0,4797.0,133983.0
1949-10-01,142780.0,1.9,6538.0,3040.0,195034.0,12250.0,11502.0,21190.0,11392.0,4516.0,15828.0,182784.0,,,22669.0,3274.0,400.0,180249.0,795.0,11792.0,7412.0,210862.0,18527.0,11115.0,1740.0,5.8,112012.0,34171.0,8108.0,704.0,9578.0,319.0,476.0,2812.0,4602.0,133202.0
1950-01-01,147004.0,33.6,6865.0,3268.0,209698.0,24168.0,12228.0,21225.0,19768.0,5312.0,16622.0,185530.0,,,24018.0,3397.0,444.0,182920.0,780.0,20212.0,8288.0,226320.0,19713.0,11425.0,1830.0,6.1,115645.0,36246.0,8458.0,732.0,10133.0,308.0,472.0,2054.0,13585.0,136870.0
1950-04-01,153616.0,0.7,7318.0,3256.0,210065.0,20554.0,12227.0,21804.0,13280.0,5312.0,17599.0,189511.0,,,24585.0,3818.0,508.0,186806.0,752.0,13788.0,8372.0,227664.0,20090.0,11718.0,1953.0,8.9,121238.0,36813.0,8669.0,768.0,10574.0,308.0,444.0,1614.0,7080.0,143042.0
1950-07-01,162303.0,14.2,7877.0,3400.0,217145.0,13777.0,13104.0,22958.0,10220.0,5496.0,18915.0,203368.0,,,25352.0,2985.0,588.0,200505.0,734.0,10808.0,9156.0,236060.0,21149.0,11993.0,2128.0,32.6,128067.0,38456.0,8841.0,784.0,11277.0,318.0,416.0,1230.0,5221.0,151025.0
1950-10-01,170150.0,10.0,8508.0,3568.0,222384.0,21489.0,13932.0,24545.0,10400.0,5808.0,22512.0,200895.0,,,24610.0,3005.0,680.0,197946.0,742.0,11080.0,9536.0,244896.0,21784.0,12248.0,2207.0,-4.8,133529.0,38543.0,9148.0,1524.0,12076.0,322.0,420.0,1058.0,4813.0,158074.0
1951-01-01,178566.0,13.9,9201.0,4032.0,229715.0,17543.0,15015.0,26706.0,10300.0,6616.0,24425.0,212172.0,,,25886.0,3244.0,792.0,209207.0,732.0,11092.0,8380.0,254140.0,20877.0,12497.0,2232.0,24.4,138627.0,40901.0,9320.0,1740.0,13233.0,340.0,392.0,804.0,4512.0,165333.0
1951-04-01,184901.0,12.8,9779.0,4128.0,236737.0,28863.0,15397.0,28509.0,10548.0,6692.0,26372.0,207873.0,,,27141.0,3254.0,868.0,204942.0,713.0,11416.0,8632.0,263109.0,21369.0,12737.0,2218.0,-7.9,142484.0,42539.0,9576.0,1884.0,13907.0,345.0,368.0,772.0,4638.0,170993.0
1951-07-01,187854.0,5.2,10292.0,4068.0,239757.0,29193.0,15148.0,30184.0,10684.0,6556.0,27791.0,210564.0,,,28093.0,3162.0,900.0,207616.0,746.0,11584.0,8580.0,267548.0,21566.0,12986.0,2202.0,5.3,143310.0,43241.0,9858.0,1944.0,14360.0,354.0,392.0,924.0,4654.0,173494.0
1951-10-01,191495.0,4.7,10741.0,4148.0,242499.0,27918.0,15654.0,31516.0,10620.0,6672.0,29632.0,214582.0,,,28044.0,3138.0,932.0,211590.0,761.0,11552.0,8688.0,272131.0,21935.0,13247.0,2231.0,7.9,145089.0,43698.0,10124.0,1920.0,14889.0,357.0,404.0,1044.0,4518.0,176605.0
1952-01-01,196097.0,1.5,10967.0,4124.0,243408.0,27357.0,13714.0,32439.0,10480.0,6944.0,30876.0,216050.0,,,27978.0,3413.0,912.0,212969.0,748.0,11392.0,8156.0,274284.0,21645.0,13489.0,2333.0,2.8,148567.0,41693.0,10400.0,1964.0,15091.0,356.0,392.0,1102.0,4001.0,181006.0
1952-04-01,197426.0,5.1,11210.0,4096.0,246447.0,26163.0,14516.0,33135.0,10628.0,6824.0,31813.0,220284.0,,,28440.0,3527.0,896.0,217088.0,745.0,11524.0,8712.0,278260.0,22513.0,13801.0,2451.0,8.1,148985.0,42956.0,10665.0,2040.0,15306.0,361.0,384.0,1042.0,4019.0,182120.0
1952-07-01,201503.0,11.2,11447.0,4104.0,253057.0,30082.0,15974.0,33761.0,11396.0,6872.0,32274.0,222975.0,,,28772.0,3352.0,876.0,219553.0,810.0,12272.0,8600.0,285331.0,22752.0,14152.0,2612.0,5.0,152191.0,44745.0,10931.0,2124.0,15551.0,374.0,436.0,1210.0,4710.0,185952.0
